set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
2,5.75,1.933,0.368,-0.232,337.5,0.07715157,0.004799599,-1.23275459944091,-0.31,-0.342786580379209,0.0128291665507456
2,5.75,1.933,0.368,-0.232,352.5,0.08181363,0.0053686104,-1.23275459944091,-0.31,-0.342786580379209,0.0128291665507456
3,5.75,1.964,0.375,-0.278,7.5,0.07184633,0.0064201877,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,22.5,0.066424936,0.006008135,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,37.5,0.057911344,0.0045610974,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,52.5,0.048962858,0.0037304803,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,67.5,0.041154042,0.0034569395,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,82.5,0.03497263,0.0029062256,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,97.5,0.030330116,0.0022747589,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,112.5,0.026952513,0.002058094,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,127.5,0.024563707,0.0018108365,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,142.5,0.022945175,0.0016717855,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,157.5,0.0219441,0.0017022038,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,172.5,0.021465957,0.0016339886,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,187.5,0.021465955,0.0016462242,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,202.5,0.0219441,0.0017057149,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,217.5,0.022945173,0.0017452098,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,232.5,0.024563704,0.001971974,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
