index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,3,2.75,1.07866,0.481474,-0.50101,18,0.70210207,0.1698729,1.7159,-2.38366,4.84918,0.099768
1,3,2.75,1.07866,0.481474,-0.50101,36,0.32318288,0.03818908,1.7159,-2.38366,4.84918,0.099768
2,3,2.75,1.07866,0.481474,-0.50101,54,0.17146417,0.013227594,1.7159,-2.38366,4.84918,0.099768
3,3,2.75,1.07866,0.481474,-0.50101,72,0.115326755,0.007812141,1.7159,-2.38366,4.84918,0.099768
4,3,2.75,1.07866,0.481474,-0.50101,90,0.09521974,0.0054067886,1.7159,-2.38366,4.84918,0.099768
5,3,2.75,1.07866,0.481474,-0.50101,108,0.08901024,0.0039497414,1.7159,-2.38366,4.84918,0.099768
6,3,2.75,1.07866,0.481474,-0.50101,126,0.08812503,0.0030386134,1.7159,-2.38366,4.84918,0.099768
7,3,2.75,1.07866,0.481474,-0.50101,144,0.08897545,0.0025030777,1.7159,-2.38366,4.84918,0.099768
8,3,2.75,1.07866,0.481474,-0.50101,162,0.089953646,0.002235483,1.7159,-2.38366,4.84918,0.099768
9,3,2.75,1.07866,0.481474,-0.50101,180,0.09034794,0.002156849,1.7159,-2.38366,4.84918,0.099768
10,3,2.75,1.07866,0.481474,-0.50101,198,0.089953646,0.0022354831,1.7159,-2.38366,4.84918,0.099768
11,3,2.75,1.07866,0.481474,-0.50101,216,0.08897545,0.0025030777,1.7159,-2.38366,4.84918,0.099768
12,3,2.75,1.07866,0.481474,-0.50101,234,0.08812503,0.003038612,1.7159,-2.38366,4.84918,0.099768
13,3,2.75,1.07866,0.481474,-0.50101,252,0.08901024,0.0039497404,1.7159,-2.38366,4.84918,0.099768
14,3,2.75,1.07866,0.481474,-0.50101,270,0.09521974,0.005406789,1.7159,-2.38366,4.84918,0.099768
15,3,2.75,1.07866,0.481474,-0.50101,288,0.115326755,0.007812141,1.7159,-2.38366,4.84918,0.099768
16,3,2.75,1.07866,0.481474,-0.50101,306,0.17146403,0.013227574,1.7159,-2.38366,4.84918,0.099768
17,3,2.75,1.07866,0.481474,-0.50101,324,0.32318267,0.038189035,1.7159,-2.38366,4.84918,0.099768
18,3,2.75,1.07866,0.481474,-0.50101,342,0.7021014,0.16987257,1.7159,-2.38366,4.84918,0.099768
19,3,2.75,1.07866,0.481474,-0.50101,360,1.1216625,0.42857423,1.7159,-2.38366,4.84918,0.099768
