,k,QQ,x_b,t,phi_x,F,std_F,ReH,std_ReH,ReE,std_ReE,ReHt,std_ReHt,dvcs,std_dvcs
0,2.5,1.0,0.24,-1.0,0.0,0.1188708655536174,0.0051368315547274356,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
1,2.5,1.0,0.24,-1.0,15.0,0.11530218273401255,0.005081972163034482,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
2,2.5,1.0,0.24,-1.0,30.0,0.10648167133331295,0.004953582325758201,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
3,2.5,1.0,0.24,-1.0,45.0,0.096135925501585,0.004819307734758488,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
4,2.5,1.0,0.24,-1.0,60.0,0.08694807440042496,0.00472049971678076,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
5,2.5,1.0,0.24,-1.0,75.0,0.07984590902924535,0.004663385468692464,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
6,2.5,1.0,0.24,-1.0,90.0,0.07472158968448635,0.004637607402471949,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
7,2.5,1.0,0.24,-1.0,105.0,0.0711445845663547,0.0046307321978086785,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
8,2.5,1.0,0.24,-1.0,120.0,0.0686951875686645,0.004633371644196634,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
9,2.5,1.0,0.24,-1.0,135.0,0.0670567080378532,0.004639556694215618,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
10,2.5,1.0,0.24,-1.0,150.0,0.06601524725556371,0.004645799696151323,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
11,2.5,1.0,0.24,-1.0,165.0,0.065437912940979,0.004650167163328225,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
12,2.5,1.0,0.24,-1.0,180.0,0.06525299511849875,0.004651718694188964,-0.5446419417858124,0.044066763901110785,-0.2879210412502289,0.006295306174678198,-0.2568587064743042,0.048217849157797255,0.05560884624719615,0.004929527011970569
13,2.5,1.0,0.24,-0.92,0.0,0.1405810862779617,0.0053544831487938056,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
14,2.5,1.0,0.24,-0.92,15.0,0.1356033757328987,0.005294434426377869,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
15,2.5,1.0,0.24,-0.92,30.0,0.12333814054727549,0.005154085420836622,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
16,2.5,1.0,0.24,-0.92,45.0,0.10902694985270495,0.005007472339935344,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
17,2.5,1.0,0.24,-0.92,60.0,0.09639664739370345,0.00489962382295205,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
18,2.5,1.0,0.24,-0.92,75.0,0.08669663593173019,0.004837188535239254,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
19,2.5,1.0,0.24,-0.92,90.0,0.0797418653964996,0.004808850047971781,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
20,2.5,1.0,0.24,-0.92,105.0,0.07491529732942576,0.004801063417709354,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
21,2.5,1.0,0.24,-0.92,120.0,0.07162719592452045,0.0048036607172487885,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
22,2.5,1.0,0.24,-0.92,135.0,0.06943709403276441,0.0048101671369877265,-0.5327753722667694,0.04159746434055453,-0.2826653867959976,0.004694337060567632,-0.2516787201166153,0.045862662189584236,0.05463944189250465,0.00512559678542127
