Kinematic Set	Chi-Square Error
21	nan
21	nan
21	nan
21	113.7016
22	54.7184
23	91.7310
24	216.5041
25	37.6031
26	167.6419
27	170.5969
28	46.2227
29	57.6580
30	54.0101
31	39.9498
32	183.2145
33	114.6099
34	43.2315
35	25.8988
36	210.8804
37	352.7810
38	160.5542
39	103.0005
40	35.5970
41	149.3446
42	95.6030
43	51.1434
44	52.3289
45	65.2755
46	1.5521
47	21.0009
48	42.7872
49	42.6649
50	152.0221
51	0.0605
52	15.3856
53	13.9382
54	111.8844
55	47.1463
56	1.6774
57	2.2623
58	0.8860
59	19.9658
60	26.3239
61	1.9475
62	14.8609
63	6.7508
64	8.3053
