phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.00447,0.0041997284,0.00025669878
22.5,0.00394,0.0040408596,0.00025226836
37.5,0.00354,0.0037636575,0.00024535006
52.5,0.003,0.003427412,0.00023839991
67.5,0.00276,0.0030856156,0.00023299789
82.5,0.00248,0.0027736241,0.00022952117
97.5,0.00236,0.0025087446,0.000227609
112.5,0.00196,0.002295856,0.00022670788
127.5,0.00186,0.002133232,0.0002263602
142.5,0.00197,0.0020166447,0.00022627035
157.5,0.00181,0.001941724,0.00022627437
172.5,0.00218,0.0019051416,0.00022629209
187.5,0.00205,0.0019051416,0.0002262921
202.5,0.00221,0.001941724,0.00022627437
217.5,0.00186,0.0020166447,0.00022627035
232.5,0.00231,0.002133232,0.00022636016
247.5,0.00261,0.002295856,0.00022670787
262.5,0.00257,0.0025087448,0.00022760901
277.5,0.00263,0.002773624,0.00022952113
292.5,0.00329,0.0030856156,0.00023299789
307.5,0.00342,0.003427412,0.00023839991
322.5,0.00375,0.0037636564,0.00024535003
337.5,0.004,0.0040408582,0.0002522683
352.5,0.00413,0.0041997284,0.00025669878
