phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.02249,0.02100727,0.0014129722
22.5,0.01557,0.018955262,0.0012091922
37.5,0.01178,0.015920002,0.0009378973
52.5,0.01153,0.012953682,0.00073165033
67.5,0.01058,0.01053495,0.00063354324
82.5,0.00792,0.008724002,0.00061061716
97.5,0.00719,0.0074214833,0.00061710615
112.5,0.006,0.0065046526,0.00062887126
127.5,0.00568,0.0058722934,0.0006383157
142.5,0.00482,0.0054517756,0.0006443823
157.5,0.00522,0.005195072,0.0006477556
172.5,0.00543,0.005073421,0.0006492224
187.5,0.00522,0.005073421,0.00064922235
202.5,0.0054,0.005195072,0.0006477556
217.5,0.00624,0.005451775,0.0006443824
232.5,0.00577,0.0058722934,0.0006383158
247.5,0.00606,0.0065046526,0.0006288713
262.5,0.00823,0.0074214838,0.000617106
277.5,0.00793,0.008723998,0.00061061716
292.5,0.01138,0.01053495,0.00063354324
307.5,0.01269,0.012953682,0.00073165033
322.5,0.01336,0.015920002,0.00093789713
337.5,0.02103,0.01895526,0.001209192
352.5,0.02372,0.021007271,0.0014129718
