set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH,ReH_pred,ReH_res,ReH_std,ReE,ReE_pred,ReE_res,ReE_std,ReHt,ReHt_pred,ReHt_res,ReHt_std,dvcs,dvcs_pred,dvcs_res,dvcs_std
100,5.75,1.64,0.214,-0.34,7.5,0.0,0.0,2.9835877,0.36127257,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,27.62,0.0,0.0,0.98223436,0.08333078,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,37.97,0.6097,0.04957,0.5976843,0.0347822,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,51.74,0.3476,0.0315,0.35106274,0.011272821,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,66.87,0.2082,0.02604,0.22280626,0.0089915395,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,81.97,0.1666,0.02617,0.15651494,0.008837852,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,97.06,0.1208,0.01839,0.11878207,0.0079258755,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,112.15,0.093,0.01337,0.09589607,0.007746962,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,127.23,0.0673,0.01514,0.081540406,0.008648783,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
100,5.75,1.64,0.214,-0.34,142.31,0.0576,0.02086,0.072533004,0.009972982,-1.370895,-1.4465525,0.0756575150299072,3.2345407,1.0171014,0.34600812,0.6710932780326844,13.94112,-7.580305,-8.347584,0.767278770751953,26.20111,0.0029474648,-0.00040426056,0.0033517253578433,0.06804086
