set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
66.0,5.75,1.11,0.126,-0.11,7.5,70.2618207670885,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870756596163295
66.0,5.75,1.11,0.126,-0.11,22.5,40.0024792052041,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870756596163295
66.0,5.75,1.11,0.126,-0.11,37.5,21.232331850503268,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870756596163295
66.0,5.75,1.11,0.126,-0.11,322.5,21.232331850503268,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870756596163295
66.0,5.75,1.11,0.126,-0.11,337.5,40.0024792052041,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870756596163295
66.0,5.75,1.11,0.126,-0.11,352.5,70.2618207670885,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870756596163295
67.0,5.75,1.11,0.126,-0.15,7.5,109.12055542470782,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743120011359
67.0,5.75,1.11,0.126,-0.15,22.5,36.61662253497317,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743120011359
67.0,5.75,1.11,0.126,-0.15,337.5,36.61662253497317,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743120011359
67.0,5.75,1.11,0.126,-0.15,352.5,109.12055542470782,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743120011359
68.0,5.75,1.11,0.126,-0.2,7.5,207.88423292276207,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743546115546825
68.0,5.75,1.11,0.126,-0.2,22.5,28.28802531940929,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743546115546825
68.0,5.75,1.11,0.126,-0.2,337.5,28.28802531940929,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743546115546825
68.0,5.75,1.11,0.126,-0.2,352.5,207.88423292276207,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743546115546825
69.0,5.75,1.11,0.126,-0.26,7.5,122.22907473730197,0.0,-3.588344771146548,1.99009996008189,1.1331237982215103,0.09235906374944648
69.0,5.75,1.11,0.126,-0.26,352.5,122.22907473730197,0.0,-3.588344771146548,1.99009996008189,1.1331237982215103,0.09235906374944648
70.0,5.75,1.11,0.126,-0.34,7.5,24.255313997897858,0.0,-3.5371392343717134,1.816152546280293,0.7792429432544314,0.06955482445556875
70.0,5.75,1.11,0.126,-0.34,352.5,24.255313997897858,0.0,-3.5371392343717134,1.816152546280293,0.7792429432544314,0.06955482445556875
74.0,5.75,1.27,0.154,-0.2,7.5,23.26737348716913,0.0,-3.381483267127019,2.137500925004998,1.4372936828882001,0.07892744212350418
74.0,5.75,1.27,0.154,-0.2,352.5,23.26737348716913,0.0,-3.381483267127019,2.137500925004998,1.4372936828882001,0.07892744212350418
75.0,5.75,1.27,0.154,-0.26,7.5,38.42591842380783,0.0,-3.417012073209416,1.99009996008189,1.1251438302654382,0.06358345012171868
75.0,5.75,1.27,0.154,-0.26,352.5,38.42591842380783,0.0,-3.417012073209416,1.99009996008189,1.1251438302654382,0.06358345012171868
76.0,5.75,1.27,0.154,-0.34,7.5,51.903699577167565,0.0,-3.365963839666116,1.816152546280293,0.7983163273685587,0.04927762596059126
76.0,5.75,1.27,0.154,-0.34,352.5,51.903699577167565,0.0,-3.365963839666116,1.816152546280293,0.7983163273685587,0.04927762596059126
78.0,5.75,1.39,0.155,-0.11,7.5,25.479353865430596,0.0,-3.114925072130837,2.391314349558854,2.0467514708191596,0.08643859479903704
78.0,5.75,1.39,0.155,-0.11,352.5,25.479353865430596,0.0,-3.114925072130837,2.391314349558854,2.0467514708191596,0.08643859479903704
79.0,5.75,1.39,0.155,-0.15,7.5,34.24486345039214,0.0,-3.270851048931599,2.27321519986283,1.7508145682138823,0.07232960898368707
79.0,5.75,1.39,0.155,-0.15,352.5,34.24486345039214,0.0,-3.270851048931599,2.27321519986283,1.7508145682138823,0.07232960898368707
80.0,5.75,1.39,0.155,-0.2,7.5,58.43228559556227,0.0,-3.3760841711119918,2.137500925004998,1.4360833441939855,0.05915965929739888
80.0,5.75,1.39,0.155,-0.2,352.5,58.43228559556227,0.0,-3.3760841711119918,2.137500925004998,1.4360833441939855,0.05915965929739888
81.0,5.75,1.39,0.155,-0.26,7.5,92.34413323155191,0.0,-3.411177117791476,1.99009996008189,1.1249217447060504,0.047681560973377515
81.0,5.75,1.39,0.155,-0.26,352.5,92.34413323155191,0.0,-3.411177117791476,1.99009996008189,1.1249217447060504,0.047681560973377515
82.0,5.75,1.39,0.155,-0.34,7.5,27.004434943566324,0.0,-3.3601580302710046,1.816152546280293,0.7989669837214365,0.03697180458568265
82.0,5.75,1.39,0.155,-0.34,352.5,27.004434943566324,0.0,-3.3601580302710046,1.816152546280293,0.7989669837214365,0.03697180458568265
93.0,5.75,1.63,0.185,-0.26,7.5,20.285865892448793,0.0,-3.244713810543265,1.99009996008189,1.1195184167120877,0.030430253864941574
93.0,5.75,1.63,0.185,-0.26,352.5,20.285865892448793,0.0,-3.244713810543265,1.99009996008189,1.1195184167120877,0.030430253864941574
94.0,5.75,1.63,0.185,-0.34,7.5,32.16272724107952,0.0,-3.1948275663178434,1.816152546280293,0.8174718581373174,0.0241366042674647
94.0,5.75,1.63,0.185,-0.34,352.5,32.16272724107952,0.0,-3.1948275663178434,1.816152546280293,0.8174718581373174,0.0241366042674647
