set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,7.5,0.14827196355727112,0.006537310732367183,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,22.5,0.14193950672735395,0.005649192289068326,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,37.5,0.13090358185965376,0.005508422730272002,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,52.5,0.11755526301669728,0.004946725472787546,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,67.5,0.10405528883362206,0.00424753676850171,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,82.5,0.09182283145572404,0.00391991680597955,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,97.5,0.08153165192606704,0.00378551453147514,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,112.5,0.07334221762984158,0.00347422097187835,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,127.5,0.06714710147739034,0.00322306089893069,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,142.5,0.0627438131523292,0.0031560136994649994,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,157.5,0.05993305476515959,0.003026619371023068,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,172.5,0.05856643954692614,0.0029224652778873884,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,187.5,0.05856643954692614,0.0029101664228371087,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,202.5,0.05993305476515959,0.002839028904535469,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,217.5,0.0627438131523292,0.0031428376028944703,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,232.5,0.06714710147739034,0.0032116458985634536,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,247.5,0.07334221762984164,0.0034602858785731864,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,262.5,0.08153165192606705,0.003721104529563734,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,277.5,0.09182283145572401,0.00400990292532338,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,292.5,0.10405528883362208,0.004426511871373676,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,307.5,0.11755526301669728,0.0046681195128911055,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
