set,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
125,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
126,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
127,0.9236126,1.259239,0.6767048,0.9759344,-0.013066866,2.5189617,0.003076183,0.011069145
128,1.7802706,1.3245325,1.7768639,1.3208581,1.9809698,1.4803253,0.015317115,0.010865428
129,3.2135494,1.6770033,2.1199126,2.383309,2.5272212,7.405451,0.028529303,0.01281618
130,3.0229263,1.5683448,2.1774426,1.5051781,1.7029983,3.640242,0.02473961,0.008280633
131,7.6939974,3.2247279,6.2988086,2.8112626,3.1721332,4.2538085,0.033622965,0.011719626
132,-8.8448715,11.4002285,-11.17997,14.631866,-11.310979,14.437097,0.14897144,0.16805735
133,2.2036402,0.52730906,2.5220454,0.602025,2.6041007,0.6539608,-0.04122035,0.00704077
134,-0.34448555,0.55656207,-0.31753096,0.53433543,-0.3790232,0.5602115,-0.0027836277,0.0055628153
135,-0.03590796,0.4938751,-0.0025357814,0.4976327,-0.13892429,0.5243603,-0.0049553625,0.0042093266
136,-0.2435299,0.41946635,-0.2012578,0.40715018,-0.47252104,0.5134403,-0.004619576,0.002919985
137,0.15093042,0.5296211,0.18763255,0.51158595,-0.07257236,0.61704654,0.002098267,0.0026430876
138,-6.762163,1.7909099,-10.5208845,1.9633344,-9.503002,2.0166454,-0.16482371,0.0127037335
139,4.6975207,1.0224298,5.030968,1.1000396,5.211455,1.1336524,-0.06462455,0.010734885
140,0.06952514,0.786078,0.071962394,0.80384195,0.08305419,0.89920056,-0.0004577442,0.005308491
141,2.1014068,1.174019,2.0343149,1.134365,2.3506494,1.3195881,0.010160455,0.006147641
142,-9.587543,1.4416634,-9.11881,1.5004022,-10.954977,1.783219,-0.006398201,0.016861603
143,-13.977871,0.41860056,-13.141635,0.8129283,-17.15777,0.7655563,-0.02220783,0.011645459
144,3.862101,1.4418306,5.9263606,1.9537793,6.3357606,2.1663399,-0.042941347,0.00696458
145,0.7357632,0.518388,0.8808317,0.5575292,0.905677,0.64556193,-0.016990919,0.0034564398
146,0.3371236,0.42681122,0.38425714,0.4419559,0.2418747,0.4437686,-0.006093613,0.003395114
147,0.5954069,0.48827168,0.63958037,0.4785233,0.47527552,0.5233092,-0.004783562,0.0024273302
148,-0.63121974,0.32979357,-0.5725608,0.29497927,-0.9786936,0.43507087,-0.002969926,0.0020229372
149,-0.18099585,1.1653603,-0.19007522,1.7766068,-0.19220056,1.6724449,-0.08310082,0.0064383103
150,-1.0470093,0.8480756,-0.97961235,0.76651967,-1.0655527,0.8636114,0.0026116336,0.006092876
