set,set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
125,125,5.75,1.94,0.275,-0.45,9.6,0.0,0.0,0.55639106,0.05055054,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,23.78,0.2723,0.03657,0.29889822,0.021545084,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,36.63,0.1771,0.01754,0.1683283,0.008399168,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,51.76,0.0984,0.01054,0.09580179,0.004255627,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,66.87,0.0628,0.01135,0.06155319,0.004320666,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,81.97,0.0461,0.01369,0.04374855,0.0044356054,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,97.06,0.026,0.01026,0.033735894,0.0044596316,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,112.14,0.0346,0.0139,0.027765378,0.004572677,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,127.22,0.0,0.0,0.024073495,0.0047909715,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,142.31,0.0,0.0,0.021782193,0.005044624,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,157.37,0.0,0.0,0.020442756,0.00525675,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,172.45,0.0,0.0,0.01982026,0.005375643,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,187.55,0.0,0.0,0.019820258,0.005375643,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,202.63,0.0,0.0,0.020442756,0.0052567506,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,217.69,0.0,0.0,0.021782188,0.0050446247,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,232.78,0.0,0.0,0.024073495,0.0047909715,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,247.86,0.0156,0.01113,0.027765373,0.0045726765,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,262.94,0.0339,0.0073,0.033735886,0.0044596316,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,278.03,0.0393,0.00742,0.04374855,0.0044356054,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,293.13,0.0706,0.00929,0.0615532,0.0043206676,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,308.24,0.0993,0.01177,0.09580176,0.004255626,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,323.37,0.1604,0.02181,0.1683283,0.008399168,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,336.22,0.3264,0.02643,0.2988982,0.021545071,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
125,125,5.75,1.94,0.275,-0.45,350.4,0.0,0.0,0.556391,0.05055054,0.78840184,1.9663566,2.3481796,4.608223,-5.9989367,11.005082,0.005253029,0.016395757
126,126,5.75,2.35,0.274,-0.11,7.49,0.6703,0.07934,0.6277502,0.03587015,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,22.51,0.6117,0.06293,0.588235,0.03075818,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,37.42,0.4804,0.05675,0.521467,0.024108006,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,52.31,0.3692,0.05419,0.44323355,0.021937605,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,67.29,0.327,0.06502,0.3659356,0.026721237,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,82.29,0.3249,0.08379,0.2975276,0.03429519,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,97.3,0.2333,0.07258,0.24100459,0.041496806,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
126,126,5.75,2.35,0.274,-0.11,112.32,0.0,0.0,0.19655234,0.0473494,0.9653476,2.495634,0.73411256,1.9715798,0.7789227,2.4144762,-0.04159028,0.038573723
