set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
22,7.383,3.17,0.363,-0.29665,52.5,0.03162,0.00162,0.0304517,0.0007756797,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,67.5,0.02425,0.00132,0.025290648,0.00075991516,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,82.5,0.02062,0.00119,0.021206617,0.0007634251,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,97.5,0.01769,0.00105,0.0181438,0.0007732828,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,112.5,0.01511,0.00093,0.015921917,0.0007829519,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,127.5,0.01295,0.00086,0.014356913,0.00079033716,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,142.5,0.01345,0.00087,0.01330143,0.0007952853,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,157.5,0.0107,0.00076,0.012651359,0.00079821923,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,172.5,0.01124,0.00081,0.012341784,0.0007995663,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,187.5,0.01152,0.0008,0.012341784,0.0007995663,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,202.5,0.0132,0.00086,0.012651359,0.00079821923,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,217.5,0.01397,0.0009,0.01330143,0.0007952853,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,232.5,0.01439,0.00095,0.014356914,0.00079033704,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,247.5,0.01675,0.00108,0.015921917,0.0007829523,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,262.5,0.01842,0.00113,0.0181438,0.0007732829,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,277.5,0.02197,0.00132,0.021206617,0.00076342514,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,292.5,0.02567,0.0015,0.025290648,0.00075991516,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,307.5,0.03149,0.00161,0.0304517,0.0007756797,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,322.5,0.0391,0.00183,0.036365774,0.00082407496,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,337.5,0.04204,0.00204,0.04199362,0.0008983611,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
22,7.383,3.17,0.363,-0.29665,352.5,0.04614,0.0022,0.04557918,0.000957989,-1.6903685,0.08476174,0.7949248,0.445103,1.4725993,0.15664642,0.0055929525,0.0007572761
23,7.383,3.18,0.365,-0.38488,7.5,0.03354,0.0028,0.035907827,0.0013836564,-1.1713777,0.25553784,-3.607629,1.1858548,-0.3712147,0.26940084,0.0036300272,0.0004931785
23,7.383,3.18,0.365,-0.38488,22.5,0.03077,0.00234,0.0320449,0.0011488613,-1.1713777,0.25553784,-3.607629,1.1858548,-0.3712147,0.26940084,0.0036300272,0.0004931785
23,7.383,3.18,0.365,-0.38488,37.5,0.02466,0.00167,0.026585668,0.000842815,-1.1713777,0.25553784,-3.607629,1.1858548,-0.3712147,0.26940084,0.0036300272,0.0004931785
