set,set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH,ReH_pred,ReH_res,ReH_std,ReE,ReE_pred,ReE_res,ReE_std,ReHt,ReHt_pred,ReHt_res,ReHt_std,dvcs,dvcs_pred,dvcs_res,dvcs_std
21,21,7.383,3.17,0.363,-0.21085,7.5,0.0416859,0.00192721,0.041460007,0.00093477697,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,22.5,0.0376485,0.0021196816,0.039931666,0.0008338717,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,37.5,0.039466,0.0020994724,0.037240036,0.0006716876,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,52.5,0.0326976,0.0022099401,0.033929687,0.0005167688,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,67.5,0.0310941,0.0020566225,0.030508336,0.00044755638,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,82.5,0.0276023,0.0025928464,0.027329262,0.0004875736,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,97.5,0.0253034,0.0026030404,0.02458186,0.0005790353,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,112.5,0.0209409,0.0026770276,0.022336306,0.0006715864,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,127.5,0.0218175,0.0027520516,0.02059501,0.00074671727,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
21,21,7.383,3.17,0.363,-0.21085,142.5,0.0194753,0.00287296,0.01933086,0.00080086285,-2.50349,-1.7051519,0.7983380844497683,0.12219195,2.10966,-0.25218642,2.3618464175796507,0.20758575,1.24778,-0.80682296,2.054602955608368,0.65829456,0.00540761,0.0032504736,0.0021571363554155,0.00048296564
