,k,QQ,x_b,t,phi_x,F,errF,ReH,ReE,ReHt,dvcs,AbsRes_ReH,AbsRes_ReE,AbsRes_ReHt,AbsRes_dvcs
0,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,7.5,0.12692882120609283,0.004920000210404,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
1,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,22.5,0.12064498662948608,0.00467999977991,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
2,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,37.5,0.1096925139427185,0.004199999850243,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
3,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,52.5,0.0964425578713417,0.00395999988541,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
4,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,67.5,0.08303849399089813,0.00359999993816,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
5,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,82.5,0.07088901847600937,0.003359999973327,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
6,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,97.5,0.06066383421421051,0.003120000008494,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
7,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,112.5,0.052523769438266754,0.00288000004366,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
8,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,127.5,0.046363621950149536,0.002760000061244,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
9,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,142.5,0.0419837050139904,0.002520000096411,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
10,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,157.5,0.03918708488345146,0.002520000096411,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
11,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,172.5,0.03782711550593376,0.002400000113994,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
12,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,187.5,0.03782711550593376,0.002400000113994,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
13,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,202.5,0.03918708115816116,0.002520000096411,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
14,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,217.5,0.0419837050139904,0.002640000078827,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
15,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,232.5,0.046363621950149536,0.002640000078827,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
16,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,247.5,0.052523769438266754,0.002760000061244,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
17,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,262.5,0.06066383048892021,0.00288000004366,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
18,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,277.5,0.07088901102542877,0.00323999999091,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
19,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,292.5,0.08303849399089813,0.003479999955744,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
20,5.75,1.82000005245209,0.342999994754791,-0.172000005841255,307.5,0.0964425578713417,0.003839999902993,-0.03366730734705925,0.0720684677362442,-0.0406077541410923,0.010759069584310055,0.9587368349632868,0.3820684677362442,0.3556647345911417,0.007002250664903946
