index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,0,2.75,1.05443,0.536279,-0.452256,18,0.39369375,0.08480107,1.47494,-2.72295,5.13102,0.105281
1,0,2.75,1.05443,0.536279,-0.452256,36,0.2704126,0.031345762,1.47494,-2.72295,5.13102,0.105281
2,0,2.75,1.05443,0.536279,-0.452256,54,0.18505166,0.011468842,1.47494,-2.72295,5.13102,0.105281
3,0,2.75,1.05443,0.536279,-0.452256,72,0.13948177,0.009612221,1.47494,-2.72295,5.13102,0.105281
4,0,2.75,1.05443,0.536279,-0.452256,90,0.11776652,0.00876752,1.47494,-2.72295,5.13102,0.105281
5,0,2.75,1.05443,0.536279,-0.452256,108,0.10842926,0.0074123847,1.47494,-2.72295,5.13102,0.105281
6,0,2.75,1.05443,0.536279,-0.452256,126,0.10507947,0.0061509977,1.47494,-2.72295,5.13102,0.105281
7,0,2.75,1.05443,0.536279,-0.452256,144,0.10434236,0.0052261422,1.47494,-2.72295,5.13102,0.105281
8,0,2.75,1.05443,0.536279,-0.452256,162,0.104460575,0.004683188,1.47494,-2.72295,5.13102,0.105281
9,0,2.75,1.05443,0.536279,-0.452256,180,0.104584716,0.0045063864,1.47494,-2.72295,5.13102,0.105281
10,0,2.75,1.05443,0.536279,-0.452256,198,0.10446059,0.0046831886,1.47494,-2.72295,5.13102,0.105281
11,0,2.75,1.05443,0.536279,-0.452256,216,0.10434236,0.0052261404,1.47494,-2.72295,5.13102,0.105281
12,0,2.75,1.05443,0.536279,-0.452256,234,0.10507947,0.0061509954,1.47494,-2.72295,5.13102,0.105281
13,0,2.75,1.05443,0.536279,-0.452256,252,0.10842926,0.007412384,1.47494,-2.72295,5.13102,0.105281
14,0,2.75,1.05443,0.536279,-0.452256,270,0.11776652,0.00876752,1.47494,-2.72295,5.13102,0.105281
15,0,2.75,1.05443,0.536279,-0.452256,288,0.13948177,0.009612221,1.47494,-2.72295,5.13102,0.105281
16,0,2.75,1.05443,0.536279,-0.452256,306,0.18505156,0.0114688305,1.47494,-2.72295,5.13102,0.105281
17,0,2.75,1.05443,0.536279,-0.452256,324,0.2704125,0.031345725,1.47494,-2.72295,5.13102,0.105281
18,0,2.75,1.05443,0.536279,-0.452256,342,0.3936936,0.084801,1.47494,-2.72295,5.13102,0.105281
19,0,2.75,1.05443,0.536279,-0.452256,360,0.46744147,0.12739189,1.47494,-2.72295,5.13102,0.105281
