index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,2,2.75,1.62007,0.425872,-0.5237,18,1.159573,0.38803992,1.79037,-2.75419,4.95139,0.02551
1,2,2.75,1.62007,0.425872,-0.5237,36,0.32841015,0.06924698,1.79037,-2.75419,4.95139,0.02551
2,2,2.75,1.62007,0.425872,-0.5237,54,0.1409908,0.02845198,1.79037,-2.75419,4.95139,0.02551
3,2,2.75,1.62007,0.425872,-0.5237,72,0.07547557,0.015721748,1.79037,-2.75419,4.95139,0.02551
4,2,2.75,1.62007,0.425872,-0.5237,90,0.047743402,0.009935074,1.79037,-2.75419,4.95139,0.02551
5,2,2.75,1.62007,0.425872,-0.5237,108,0.034842655,0.0068102046,1.79037,-2.75419,4.95139,0.02551
6,2,2.75,1.62007,0.425872,-0.5237,126,0.028578866,0.004989456,1.79037,-2.75419,4.95139,0.02551
7,2,2.75,1.62007,0.425872,-0.5237,144,0.025532752,0.003923442,1.79037,-2.75419,4.95139,0.02551
8,2,2.75,1.62007,0.425872,-0.5237,162,0.024156224,0.0033600014,1.79037,-2.75419,4.95139,0.02551
9,2,2.75,1.62007,0.425872,-0.5237,180,0.023762919,0.003183552,1.79037,-2.75419,4.95139,0.02551
10,2,2.75,1.62007,0.425872,-0.5237,198,0.024156224,0.003360001,1.79037,-2.75419,4.95139,0.02551
11,2,2.75,1.62007,0.425872,-0.5237,216,0.025532749,0.0039234417,1.79037,-2.75419,4.95139,0.02551
12,2,2.75,1.62007,0.425872,-0.5237,234,0.02857886,0.0049894545,1.79037,-2.75419,4.95139,0.02551
13,2,2.75,1.62007,0.425872,-0.5237,252,0.034842648,0.0068102023,1.79037,-2.75419,4.95139,0.02551
14,2,2.75,1.62007,0.425872,-0.5237,270,0.047743402,0.009935074,1.79037,-2.75419,4.95139,0.02551
15,2,2.75,1.62007,0.425872,-0.5237,288,0.07547557,0.015721748,1.79037,-2.75419,4.95139,0.02551
16,2,2.75,1.62007,0.425872,-0.5237,306,0.14099061,0.028451918,1.79037,-2.75419,4.95139,0.02551
17,2,2.75,1.62007,0.425872,-0.5237,324,0.32840985,0.06924694,1.79037,-2.75419,4.95139,0.02551
18,2,2.75,1.62007,0.425872,-0.5237,342,1.1595703,0.38803864,1.79037,-2.75419,4.95139,0.02551
19,2,2.75,1.62007,0.425872,-0.5237,360,106.79997,405.10974,1.79037,-2.75419,4.95139,0.02551
