index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,1,2.75,1.44086,0.52755,-0.57888,18,0.31657797,0.08783329,2.23106,-3.09232,5.60929,0.054918
1,1,2.75,1.44086,0.52755,-0.57888,36,0.17385046,0.024572786,2.23106,-3.09232,5.60929,0.054918
2,1,2.75,1.44086,0.52755,-0.57888,54,0.10344852,0.008715584,2.23106,-3.09232,5.60929,0.054918
3,1,2.75,1.44086,0.52755,-0.57888,72,0.07227548,0.0051959115,2.23106,-3.09232,5.60929,0.054918
4,1,2.75,1.44086,0.52755,-0.57888,90,0.058792327,0.0038102388,2.23106,-3.09232,5.60929,0.054918
5,1,2.75,1.44086,0.52755,-0.57888,108,0.053237356,0.0029256127,2.23106,-3.09232,5.60929,0.054918
6,1,2.75,1.44086,0.52755,-0.57888,126,0.051228095,0.0023339596,2.23106,-3.09232,5.60929,0.054918
7,1,2.75,1.44086,0.52755,-0.57888,144,0.05071487,0.001967105,2.23106,-3.09232,5.60929,0.054918
8,1,2.75,1.44086,0.52755,-0.57888,162,0.05070784,0.0017735697,2.23106,-3.09232,5.60929,0.054918
9,1,2.75,1.44086,0.52755,-0.57888,180,0.050750066,0.0017141701,2.23106,-3.09232,5.60929,0.054918
10,1,2.75,1.44086,0.52755,-0.57888,198,0.05070784,0.0017735697,2.23106,-3.09232,5.60929,0.054918
11,1,2.75,1.44086,0.52755,-0.57888,216,0.05071487,0.0019671049,2.23106,-3.09232,5.60929,0.054918
12,1,2.75,1.44086,0.52755,-0.57888,234,0.051228087,0.0023339586,2.23106,-3.09232,5.60929,0.054918
13,1,2.75,1.44086,0.52755,-0.57888,252,0.05323735,0.002925612,2.23106,-3.09232,5.60929,0.054918
14,1,2.75,1.44086,0.52755,-0.57888,270,0.058792327,0.003810239,2.23106,-3.09232,5.60929,0.054918
15,1,2.75,1.44086,0.52755,-0.57888,288,0.07227548,0.0051959115,2.23106,-3.09232,5.60929,0.054918
16,1,2.75,1.44086,0.52755,-0.57888,306,0.103448436,0.008715576,2.23106,-3.09232,5.60929,0.054918
17,1,2.75,1.44086,0.52755,-0.57888,324,0.17385037,0.024572752,2.23106,-3.09232,5.60929,0.054918
18,1,2.75,1.44086,0.52755,-0.57888,342,0.31657773,0.08783314,2.23106,-3.09232,5.60929,0.054918
19,1,2.75,1.44086,0.52755,-0.57888,360,0.44544506,0.18104805,2.23106,-3.09232,5.60929,0.054918
