index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,0,2.75,1.05443,0.536279,-0.452256,14,0.41512266,0.08430746,1.47494,-2.72295,5.13102,0.105281
1,0,2.75,1.05443,0.536279,-0.452256,28,0.3211647,0.04399528,1.47494,-2.72295,5.13102,0.105281
2,0,2.75,1.05443,0.536279,-0.452256,42,0.23624039,0.018254858,1.47494,-2.72295,5.13102,0.105281
3,0,2.75,1.05443,0.536279,-0.452256,56,0.17811692,0.009362912,1.47494,-2.72295,5.13102,0.105281
4,0,2.75,1.05443,0.536279,-0.452256,70,0.14290662,0.008356359,1.47494,-2.72295,5.13102,0.105281
5,0,2.75,1.05443,0.536279,-0.452256,84,0.122978956,0.0078975335,1.47494,-2.72295,5.13102,0.105281
6,0,2.75,1.05443,0.536279,-0.452256,98,0.11234909,0.00705199,1.47494,-2.72295,5.13102,0.105281
7,0,2.75,1.05443,0.536279,-0.452256,112,0.107120216,0.0061124484,1.47494,-2.72295,5.13102,0.105281
8,0,2.75,1.05443,0.536279,-0.452256,126,0.104894996,0.005277168,1.47494,-2.72295,5.13102,0.105281
9,0,2.75,1.05443,0.536279,-0.452256,140,0.10421915,0.0046247514,1.47494,-2.72295,5.13102,0.105281
10,0,2.75,1.05443,0.536279,-0.452256,154,0.10421633,0.004174387,1.47494,-2.72295,5.13102,0.105281
11,0,2.75,1.05443,0.536279,-0.452256,168,0.10437551,0.003921232,1.47494,-2.72295,5.13102,0.105281
12,0,2.75,1.05443,0.536279,-0.452256,182,0.10443591,0.0038556047,1.47494,-2.72295,5.13102,0.105281
13,0,2.75,1.05443,0.536279,-0.452256,196,0.10433266,0.003974052,1.47494,-2.72295,5.13102,0.105281
14,0,2.75,1.05443,0.536279,-0.452256,210,0.10418367,0.0042825094,1.47494,-2.72295,5.13102,0.105281
15,0,2.75,1.05443,0.536279,-0.452256,224,0.10431344,0.0047907108,1.47494,-2.72295,5.13102,0.105281
16,0,2.75,1.05443,0.536279,-0.452256,238,0.10532232,0.0054990617,1.47494,-2.72295,5.13102,0.105281
17,0,2.75,1.05443,0.536279,-0.452256,252,0.108224526,0.006376071,1.47494,-2.72295,5.13102,0.105281
18,0,2.75,1.05443,0.536279,-0.452256,266,0.11469837,0.0073158727,1.47494,-2.72295,5.13102,0.105281
19,0,2.75,1.05443,0.536279,-0.452256,280,0.127505,0.008077021,1.47494,-2.72295,5.13102,0.105281
20,0,2.75,1.05443,0.536279,-0.452256,294,0.151089,0.008442266,1.47494,-2.72295,5.13102,0.105281
21,0,2.75,1.05443,0.536279,-0.452256,308,0.19205527,0.010589286,1.47494,-2.72295,5.13102,0.105281
22,0,2.75,1.05443,0.536279,-0.452256,322,0.25791007,0.023679556,1.47494,-2.72295,5.13102,0.105281
23,0,2.75,1.05443,0.536279,-0.452256,336,0.34886715,0.0546907,1.47494,-2.72295,5.13102,0.105281
24,0,2.75,1.05443,0.536279,-0.452256,350,0.43623048,0.094911024,1.47494,-2.72295,5.13102,0.105281
