index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,4,2.75,1.21724,0.506752,-0.57356,14,0.6339798,0.16041113,2.22878,-2.76758,5.46996,0.090805
1,4,2.75,1.21724,0.506752,-0.57356,28,0.34648257,0.046435308,2.22878,-2.76758,5.46996,0.090805
2,4,2.75,1.21724,0.506752,-0.57356,42,0.19925092,0.01527207,2.22878,-2.76758,5.46996,0.090805
3,4,2.75,1.21724,0.506752,-0.57356,56,0.13190077,0.007862263,2.22878,-2.76758,5.46996,0.090805
4,4,2.75,1.21724,0.506752,-0.57356,70,0.10139023,0.005476069,2.22878,-2.76758,5.46996,0.090805
5,4,2.75,1.21724,0.506752,-0.57356,84,0.087849095,0.0041387086,2.22878,-2.76758,5.46996,0.090805
6,4,2.75,1.21724,0.506752,-0.57356,98,0.082315415,0.0032187975,2.22878,-2.76758,5.46996,0.090805
7,4,2.75,1.21724,0.506752,-0.57356,112,0.08059114,0.002567226,2.22878,-2.76758,5.46996,0.090805
8,4,2.75,1.21724,0.506752,-0.57356,126,0.08060723,0.0021141958,2.22878,-2.76758,5.46996,0.090805
9,4,2.75,1.21724,0.506752,-0.57356,140,0.081289604,0.0018153576,2.22878,-2.76758,5.46996,0.090805
10,4,2.75,1.21724,0.506752,-0.57356,154,0.08205735,0.0016360544,2.22878,-2.76758,5.46996,0.090805
11,4,2.75,1.21724,0.506752,-0.57356,168,0.08259468,0.0015462441,2.22878,-2.76758,5.46996,0.090805
12,4,2.75,1.21724,0.506752,-0.57356,182,0.082746886,0.0015244227,2.22878,-2.76758,5.46996,0.090805
13,4,2.75,1.21724,0.506752,-0.57356,196,0.0824761,0.0015642606,2.22878,-2.76758,5.46996,0.090805
14,4,2.75,1.21724,0.506752,-0.57356,210,0.0818513,0.0016769383,2.22878,-2.76758,5.46996,0.090805
15,4,2.75,1.21724,0.506752,-0.57356,224,0.081066795,0.0018871158,2.22878,-2.76758,5.46996,0.090805
16,4,2.75,1.21724,0.506752,-0.57356,238,0.080499746,0.0022262323,2.22878,-2.76758,5.46996,0.090805
17,4,2.75,1.21724,0.506752,-0.57356,252,0.08084068,0.0027307482,2.22878,-2.76758,5.46996,0.090805
18,4,2.75,1.21724,0.506752,-0.57356,266,0.083378464,0.0034501108,2.22878,-2.76758,5.46996,0.090805
19,4,2.75,1.21724,0.506752,-0.57356,280,0.09063205,0.004467216,2.22878,-2.76758,5.46996,0.090805
20,4,2.75,1.21724,0.506752,-0.57356,294,0.10778955,0.005989852,2.22878,-2.76758,5.46996,0.090805
21,4,2.75,1.21724,0.506752,-0.57356,308,0.14607134,0.009083107,2.22878,-2.76758,5.46996,0.090805
22,4,2.75,1.21724,0.506752,-0.57356,322,0.23045781,0.020209262,2.22878,-2.76758,5.46996,0.090805
23,4,2.75,1.21724,0.506752,-0.57356,336,0.41275987,0.066584036,2.22878,-2.76758,5.46996,0.090805
24,4,2.75,1.21724,0.506752,-0.57356,350,0.7337374,0.21684158,2.22878,-2.76758,5.46996,0.090805
