index,experiment,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHtilde,dvcs
0,2,2.75,1.62007,0.425872,-0.5237,14,1.7732043,0.68023694,1.79037,-2.75419,4.95139,0.02551
1,2,2.75,1.62007,0.425872,-0.5237,28,0.53721863,0.1147582,1.79037,-2.75419,4.95139,0.02551
2,2,2.75,1.62007,0.425872,-0.5237,42,0.23954795,0.04297957,1.79037,-2.75419,4.95139,0.02551
3,2,2.75,1.62007,0.425872,-0.5237,56,0.12932263,0.022693388,1.79037,-2.75419,4.95139,0.02551
4,2,2.75,1.62007,0.425872,-0.5237,70,0.07932838,0.014092971,1.79037,-2.75419,4.95139,0.02551
5,2,2.75,1.62007,0.425872,-0.5237,84,0.053979956,0.009570611,1.79037,-2.75419,4.95139,0.02551
6,2,2.75,1.62007,0.425872,-0.5237,98,0.040270615,0.0068852883,1.79037,-2.75419,4.95139,0.02551
7,2,2.75,1.62007,0.425872,-0.5237,112,0.032578815,0.005176768,1.79037,-2.75419,4.95139,0.02551
8,2,2.75,1.62007,0.425872,-0.5237,126,0.028189404,0.0040530064,1.79037,-2.75419,4.95139,0.02551
9,2,2.75,1.62007,0.425872,-0.5237,140,0.025690084,0.003313947,1.79037,-2.75419,4.95139,0.02551
10,2,2.75,1.62007,0.425872,-0.5237,154,0.02431433,0.002850456,1.79037,-2.75419,4.95139,0.02551
11,2,2.75,1.62007,0.425872,-0.5237,168,0.023646679,0.0026021763,1.79037,-2.75419,4.95139,0.02551
12,2,2.75,1.62007,0.425872,-0.5237,182,0.02348502,0.0025389704,1.79037,-2.75419,4.95139,0.02551
13,2,2.75,1.62007,0.425872,-0.5237,196,0.023780143,0.0026533713,1.79037,-2.75419,4.95139,0.02551
14,2,2.75,1.62007,0.425872,-0.5237,210,0.024621772,0.0029589506,1.79037,-2.75419,4.95139,0.02551
15,2,2.75,1.62007,0.425872,-0.5237,224,0.026264282,0.0034933633,1.79037,-2.75419,4.95139,0.02551
16,2,2.75,1.62007,0.425872,-0.5237,238,0.029204642,0.0043283137,1.79037,-2.75419,4.95139,0.02551
17,2,2.75,1.62007,0.425872,-0.5237,252,0.034353536,0.005593031,1.79037,-2.75419,4.95139,0.02551
18,2,2.75,1.62007,0.425872,-0.5237,266,0.04340346,0.0075278557,1.79037,-2.75419,4.95139,0.02551
19,2,2.75,1.62007,0.425872,-0.5237,280,0.059667293,0.010616828,1.79037,-2.75419,4.95139,0.02551
20,2,2.75,1.62007,0.425872,-0.5237,294,0.09019462,0.015967716,1.79037,-2.75419,4.95139,0.02551
21,2,2.75,1.62007,0.425872,-0.5237,308,0.15197644,0.026656404,1.79037,-2.75419,4.95139,0.02551
22,2,2.75,1.62007,0.425872,-0.5237,322,0.29453492,0.054246325,1.79037,-2.75419,4.95139,0.02551
23,2,2.75,1.62007,0.425872,-0.5237,336,0.7150599,0.17050555,1.79037,-2.75419,4.95139,0.02551
24,2,2.75,1.62007,0.425872,-0.5237,350,2.9197874,1.5150611,1.79037,-2.75419,4.95139,0.02551
