k,QQ,xB,t,phi,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,F_true,F_true_py,F_true_fix_dvcs
5.75,1.964,0.375,-0.278,277.5,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0394543,0.039454244,0.039454304
5.75,1.964,0.375,-0.278,292.5,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0448934,0.0448934,0.04489346
5.75,1.964,0.375,-0.278,307.5,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.051762,0.05176199,0.05176205
5.75,1.964,0.375,-0.278,322.5,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0596303,0.05963031,0.059630368
5.75,1.964,0.375,-0.278,337.5,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0671142,0.06711425,0.06711431
5.75,1.964,0.375,-0.278,352.5,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0718791,0.07187915,0.07187921
5.75,1.986,0.379,-0.323,7.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.066247,0.06624701,0.066247
5.75,1.986,0.379,-0.323,22.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0606972,0.06069714,0.060697135
5.75,1.986,0.379,-0.323,37.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0524859,0.052485906,0.052485906
5.75,1.986,0.379,-0.323,52.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0444733,0.04447329,0.04447329
5.75,1.986,0.379,-0.323,67.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0379634,0.03796336,0.037963357
5.75,1.986,0.379,-0.323,82.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.033112,0.033111982,0.03311198
5.75,1.986,0.379,-0.323,97.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0296376,0.029637588,0.029637586
5.75,1.986,0.379,-0.323,112.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0271991,0.027199082,0.027199078
5.75,1.986,0.379,-0.323,127.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0255192,0.025519205,0.025519203
5.75,1.986,0.379,-0.323,142.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0244019,0.024401871,0.02440187
5.75,1.986,0.379,-0.323,157.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0237192,0.023719156,0.023719154
5.75,1.986,0.379,-0.323,172.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0233953,0.023395315,0.023395313
5.75,1.986,0.379,-0.323,187.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0233953,0.023395315,0.023395311
5.75,1.986,0.379,-0.323,202.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0237192,0.023719154,0.023719152
5.75,1.986,0.379,-0.323,217.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0244019,0.024401871,0.02440187
5.75,1.986,0.379,-0.323,232.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0255192,0.025519205,0.025519203
5.75,1.986,0.379,-0.323,247.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0271991,0.027199082,0.027199078
5.75,1.986,0.379,-0.323,262.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0296376,0.029637579,0.029637577
5.75,1.986,0.379,-0.323,277.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.033112,0.033111975,0.03311197
5.75,1.986,0.379,-0.323,292.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0379634,0.03796336,0.037963357
5.75,1.986,0.379,-0.323,307.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0444733,0.04447329,0.04447329
5.75,1.986,0.379,-0.323,322.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0524859,0.052485913,0.05248591
5.75,1.986,0.379,-0.323,337.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0606972,0.06069714,0.060697135
5.75,1.986,0.379,-0.323,352.5,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.066247,0.066246994,0.066246994
5.75,1.999,0.381,-0.371,7.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.062743,0.06274304,0.06274307
5.75,1.999,0.381,-0.371,22.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0561301,0.056130186,0.05613022
5.75,1.999,0.381,-0.371,37.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0470173,0.047017355,0.047017388
5.75,1.999,0.381,-0.371,52.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0388349,0.038834922,0.03883495
5.75,1.999,0.381,-0.371,67.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0326656,0.032665618,0.032665648
5.75,1.999,0.381,-0.371,82.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.028333,0.028332999,0.028333033
