phi_x,Real F,Mean F Prediction,Std Dev Prediction
8.25,0.0,1.0827785,0.08132126
23.32,0.7787,0.7638565,0.052808188
37.74,0.5176,0.4875461,0.028627263
52.32,0.2894,0.31122062,0.0140865445
67.02,0.1906,0.2068268,0.0069698067
82.08,0.1383,0.14381671,0.00503232
97.15,0.1026,0.10587095,0.0053875153
112.21,0.0914,0.082474925,0.005870008
127.28,0.077,0.06785031,0.006121262
142.34,0.0595,0.058822274,0.006208501
157.4,0.042,0.053588096,0.006220548
172.47,0.0524,0.05118152,0.0062137437
187.53,0.0569,0.05118152,0.0062137437
202.6,0.0572,0.053588096,0.0062205493
217.66,0.0597,0.058822274,0.006208502
232.72,0.059,0.06785031,0.006121262
247.79,0.0886,0.08247492,0.0058700102
262.85,0.0902,0.105870925,0.005387517
277.92,0.1639,0.14381672,0.00503232
292.98,0.1946,0.20682679,0.006969805
307.68,0.3165,0.31122062,0.014086536
322.26,0.4857,0.4875461,0.028627276
336.68,0.7429,0.7638565,0.052808173
351.75,0.0,1.0827785,0.08132124
