phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.42,0.2427,0.2629924,0.012776656
22.04,0.1937,0.20144269,0.009025219
36.94,0.1446,0.1331298,0.00521603
51.95,0.1047,0.0846961,0.0032452177
66.99,0.0733,0.054632142,0.0028214667
82.05,0.0463,0.036371794,0.002912968
97.11,0.0354,0.025159592,0.003026807
112.18,0.0385,0.018145513,0.00308625
127.25,0.0,0.013716841,0.00310633
142.31,0.0,0.010955636,0.0031074109
157.38,0.0,0.0093400935,0.003102587
172.47,0.0,0.008592709,0.0030987437
187.53,0.0,0.008592709,0.0030987437
202.62,0.0,0.0093400935,0.0031025873
217.69,0.0,0.010955637,0.0031074109
232.75,0.0,0.013716841,0.00310633
247.82,0.0,0.018145513,0.0030862503
262.89,0.0256,0.025159592,0.0030268067
277.95,0.0478,0.03637181,0.002912968
293.01,0.0554,0.054632142,0.0028214667
308.05,0.1104,0.084696,0.0032452154
323.06,0.124,0.13312969,0.0052160253
337.96,0.2093,0.2014425,0.00902521
352.58,0.2708,0.2629924,0.012776656
