Kinematic Set	Chi-Square Error
125	411.7722
126	168.0267
127	466.7987
128	105.5627
129	405.3579
130	927.4042
131	371.4386
132	50.6769
133	470.2745
134	172.8776
135	401.3141
136	370.7744
137	397.7109
138	183.6612
139	346.1787
140	132.4971
141	35.3919
142	218.4531
143	229.6505
144	214.3836
145	412.2515
146	524.5821
147	413.8012
148	357.6879
149	476.2799
150	86.0215
