phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.61,1.0196,0.93523806,0.056077875
22.79,0.6189,0.76193184,0.042773
37.67,0.5767,0.55507225,0.027453233
52.38,0.366,0.39169663,0.016578082
67.08,0.2377,0.27829468,0.011174235
82.13,0.2327,0.2013187,0.009988091
97.18,0.1494,0.15086553,0.010542484
112.23,0.1085,0.11769541,0.01127789
127.29,0.066,0.09593006,0.011816262
142.34,0.0717,0.08198845,0.012148503
157.41,0.106,0.07368028,0.012331054
172.47,0.059,0.06980508,0.012410238
187.53,0.0,0.06980508,0.012410238
202.59,0.0854,0.073680274,0.012331055
217.66,0.1009,0.08198845,0.012148505
232.71,0.0919,0.09593006,0.011816262
247.77,0.1121,0.11769541,0.011277891
262.82,0.1702,0.15086551,0.010542485
277.87,0.1965,0.20131856,0.009988091
292.92,0.2932,0.27829468,0.011174235
307.62,0.4239,0.39169592,0.016578063
322.33,0.5011,0.55507225,0.02745322
337.21,0.8258,0.7619306,0.042772934
352.39,0.9405,0.93523806,0.056077875
