,Train_Loss,Val_Loss
0,0.0005779698258265853,0.0002474643988534808
1,0.0003044296754524112,8.593088568886742e-05
2,0.00013000034959986806,1.7718350136419758e-05
3,4.96614484291058e-05,2.4904207748477347e-05
4,4.6180550270946696e-05,7.473881123587489e-05
5,8.763444202486426e-05,0.00012850781786255538
6,0.0001359097077511251,0.0001590886095073074
7,0.00016394004342146218,0.0001589759485796094
8,0.00016382470494136214,0.0001346311328234151
9,0.0001414638536516577,9.796339145395905e-05
10,0.0001082144008250907,6.077056605136022e-05
11,7.537568308180198e-05,3.192674557794817e-05
12,5.1367100240895525e-05,1.6089323253254406e-05
13,4.041894499096088e-05,1.3397315342444927e-05
14,4.226901728543453e-05,2.017644510488026e-05
15,5.288782631396316e-05,3.066687713726424e-05
16,6.624148954870179e-05,3.928551814169623e-05
17,7.658625690964982e-05,4.24971294705756e-05
18,8.03507718956098e-05,3.9572980313096195e-05
19,7.688161713303998e-05,3.2197480322793126e-05
20,6.802248390158638e-05,2.3387601686408743e-05
21,5.700551264453679e-05,1.6259378753602505e-05
22,4.719528078567237e-05,1.3008004316361621e-05
23,4.1050832805922255e-05,1.4312864550447557e-05
24,3.9514339732704684e-05,1.9271174096502364e-05
25,4.192620326648466e-05,2.5847381039056927e-05
26,4.6454249968519434e-05,3.1668889278080314e-05
27,5.087062163511291e-05,3.486141940811649e-05
28,5.3374944400275126e-05,3.46098022419028e-05
29,5.315251473803073e-05,3.1271465559257194e-05
30,5.049435640103184e-05,2.6078025257447734e-05
31,4.6511300752172247e-05,2.0599465642590076e-05
32,4.2613872210495174e-05,1.618935857550241e-05
33,3.997387466370128e-05,1.3590168236987665e-05
34,3.9146834751591086e-05,1.2806820450350642e-05
35,3.996262967120856e-05,1.3254521945782471e-05
36,4.168961095274426e-05,1.409686137776589e-05
37,4.3386364268371835e-05,1.462042928324081e-05
38,4.428519605426118e-05,1.4496980838885065e-05
39,4.405665458762087e-05,1.3843940905644558e-05
40,4.2866464355029166e-05,1.3091016626276542e-05
41,4.1233550291508436e-05,1.2735412383335643e-05
42,3.9773123717168346e-05,1.3100837350066286e-05
43,3.894180554198101e-05,1.419488307874417e-05
44,3.888038918375969e-05,1.5714014807599597e-05
45,3.9404760173056275e-05,1.7178379493998364e-05
46,4.012842327938415e-05,1.8129207091988064e-05
47,4.065111716045067e-05,1.8300448573427275e-05
48,4.072600859217346e-05,1.769684058672283e-05
49,4.033817822346464e-05,1.6558809875277802e-05
50,3.967444718000479e-05,1.5242467270581983e-05
51,3.901196032529697e-05,1.407617219228996e-05
52,3.8585305446758866e-05,1.3253775250632316e-05
53,3.849168570013717e-05,1.2802573110093363e-05
54,3.8670117646688595e-05,1.2623992006410845e-05
55,3.895227564498782e-05,1.257815438293619e-05
56,3.915395063813776e-05,1.2564571079565212e-05
57,3.9159669540822506e-05,1.2563557902467437e-05
58,3.8963815313763916e-05,1.2624710507225245e-05
59,3.8655183743685484e-05,1.2817701644962654e-05
60,3.836141331703402e-05,1.3175184903957415e-05
61,3.8183105061762035e-05,1.3659961950907018e-05
62,3.815192758338526e-05,1.4169348105497193e-05
63,3.822609505732544e-05,1.457404505345039e-05
64,3.8322119507938623e-05,1.4769163499295246e-05
65,3.83609403797891e-05,1.4713861673953943e-05
66,3.830551213468425e-05,1.4440643099078443e-05
67,3.817133620032109e-05,1.4035769709153101e-05
68,3.8010643038433045e-05,1.3601528735307511e-05
69,3.788041794905439e-05,1.3220594155427534e-05
70,3.781354462262243e-05,1.2936368875671178e-05
71,3.780639235628769e-05,1.2754493582178839e-05
72,3.7826273910468444e-05,1.2659541425819043e-05
73,3.783296779147349e-05,1.2634061931748874e-05
74,3.7800127756781876e-05,1.2670063370023854e-05
75,3.772664786083624e-05,1.2766976396960672e-05
76,3.763273707590997e-05,1.2922219866595697e-05
77,3.754624049179256e-05,1.3119925824867096e-05
78,3.748648668988608e-05,1.3327636224857997e-05
79,3.745558569789864e-05,1.3503216905519366e-05
80,3.744037530850619e-05,1.3608010704047047e-05
81,3.7421668821480125e-05,1.3619827768707182e-05
82,3.7385580071713775e-05,1.3540645340981428e-05
83,3.733034827746451e-05,1.3393078916124068e-05
84,3.726464638020843e-05,1.3211913937993813e-05
85,3.720176755450666e-05,1.3031598427915014e-05
86,3.7151137803448364e-05,1.287796112592332e-05
87,3.711388853844255e-05,1.276512375625316e-05
88,3.708348594955169e-05,1.2697784768533893e-05
89,3.7050900573376566e-05,1.2674756362685002e-05
90,3.700984962051734e-05,1.2692477866949048e-05
91,3.695998020702973e-05,1.2744822015520185e-05
92,3.690596349770203e-05,1.2822350981878117e-05
93,3.685430419864133e-05,1.2910718396597076e-05
94,3.680861846078187e-05,1.2992412848689128e-05
95,3.676878986880183e-05,1.3050002962700091e-05
96,3.673121682368219e-05,1.3070595741737634e-05
97,3.6691457353299484e-05,1.3050128472968936e-05
98,3.6647474189521745e-05,1.2992948541068472e-05
99,3.6599700251827016e-05,1.2910799341625534e-05
