set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
66.0,5.75,1.11,0.126,-0.11,7.5,68.55276,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870759963989258
66.0,5.75,1.11,0.126,-0.11,22.5,39.189953,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870759963989258
66.0,5.75,1.11,0.126,-0.11,37.5,20.96614,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870759963989258
66.0,5.75,1.11,0.126,-0.11,322.5,20.966135,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870759963989258
66.0,5.75,1.11,0.126,-0.11,337.5,39.189953,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870759963989258
66.0,5.75,1.11,0.126,-0.11,352.5,68.55275,0.0,-3.2058336266648912,2.391314349558854,2.161267127940768,0.17870759963989258
67.0,5.75,1.11,0.126,-0.15,7.5,106.609,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743217945099
67.0,5.75,1.11,0.126,-0.15,22.5,35.97633,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743217945099
67.0,5.75,1.11,0.126,-0.15,337.5,35.976326,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743217945099
67.0,5.75,1.11,0.126,-0.15,352.5,106.609,0.0,-3.4029196405987916,2.27321519986283,1.8277638322696352,0.1467743217945099
68.0,5.75,1.11,0.126,-0.2,7.5,204.11732,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743547022342682
68.0,5.75,1.11,0.126,-0.2,22.5,27.987602,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743547022342682
68.0,5.75,1.11,0.126,-0.2,337.5,27.987602,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743547022342682
68.0,5.75,1.11,0.126,-0.2,352.5,204.11732,0.0,-3.5380489062866705,2.137500925004998,1.4763875583922728,0.11743547022342682
69.0,5.75,1.11,0.126,-0.26,7.5,121.175476,0.0,-3.588344771146548,1.99009996008189,1.1331237982215103,0.09235908091068268
69.0,5.75,1.11,0.126,-0.26,352.5,121.17247,0.0,-3.588344771146548,1.99009996008189,1.1331237982215103,0.09235908091068268
70.0,5.75,1.11,0.126,-0.34,7.5,24.449936,0.0,-3.5371392343717134,1.816152546280293,0.7792429432544314,0.06955483555793762
70.0,5.75,1.11,0.126,-0.34,352.5,24.449936,0.0,-3.5371392343717134,1.816152546280293,0.7792429432544314,0.06955483555793762
74.0,5.75,1.27,0.154,-0.2,7.5,22.289194,0.0,-3.381483267127019,2.137500925004998,1.4372936828882001,0.07892744243144989
74.0,5.75,1.27,0.154,-0.2,352.5,22.289194,0.0,-3.381483267127019,2.137500925004998,1.4372936828882001,0.07892744243144989
75.0,5.75,1.27,0.154,-0.26,7.5,37.022987,0.0,-3.417012073209416,1.99009996008189,1.1251438302654382,0.06358344107866287
75.0,5.75,1.27,0.154,-0.26,352.5,37.022987,0.0,-3.417012073209416,1.99009996008189,1.1251438302654382,0.06358344107866287
76.0,5.75,1.27,0.154,-0.34,7.5,50.650604,0.0,-3.365963839666116,1.816152546280293,0.7983163273685587,0.049277614802122116
76.0,5.75,1.27,0.154,-0.34,352.5,50.64927,0.0,-3.365963839666116,1.816152546280293,0.7983163273685587,0.049277614802122116
78.0,5.75,1.39,0.155,-0.11,7.5,24.729618,0.0,-3.114925072130837,2.391314349558854,2.0467514708191596,0.0864386036992073
78.0,5.75,1.39,0.155,-0.11,352.5,24.729618,0.0,-3.114925072130837,2.391314349558854,2.0467514708191596,0.0864386036992073
79.0,5.75,1.39,0.155,-0.15,7.5,33.223373,0.0,-3.270851048931599,2.27321519986283,1.7508145682138823,0.07232960313558578
79.0,5.75,1.39,0.155,-0.15,352.5,33.223373,0.0,-3.270851048931599,2.27321519986283,1.7508145682138823,0.07232960313558578
80.0,5.75,1.39,0.155,-0.2,7.5,56.821617,0.0,-3.3760841711119918,2.137500925004998,1.4360833441939855,0.05915965512394905
80.0,5.75,1.39,0.155,-0.2,352.5,56.821617,0.0,-3.3760841711119918,2.137500925004998,1.4360833441939855,0.05915965512394905
81.0,5.75,1.39,0.155,-0.26,7.5,90.3547,0.0,-3.411177117791476,1.99009996008189,1.1249217447060504,0.047681547701358795
81.0,5.75,1.39,0.155,-0.26,352.5,90.35108,0.0,-3.411177117791476,1.99009996008189,1.1249217447060504,0.047681547701358795
82.0,5.75,1.39,0.155,-0.34,7.5,26.747314,0.0,-3.3601580302710046,1.816152546280293,0.7989669837214365,0.0369718000292778
82.0,5.75,1.39,0.155,-0.34,352.5,26.747314,0.0,-3.3601580302710046,1.816152546280293,0.7989669837214365,0.0369718000292778
94.0,5.75,1.63,0.185,-0.34,7.5,31.16331,0.0,-3.1948275663178434,1.816152546280293,0.8174718581373174,0.024136601015925407
94.0,5.75,1.63,0.185,-0.34,352.5,31.162153,0.0,-3.1948275663178434,1.816152546280293,0.8174718581373174,0.024136601015925407
