set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,7.5,0.119761266,0.005280274,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,22.5,0.115273334,0.0045878785,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,37.5,0.10741654,0.004520088,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,52.5,0.097843386,0.0041172495,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,67.5,0.08806545,0.0035948318,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,82.5,0.07909991,0.0033767752,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,97.5,0.071457356,0.003317765,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,112.5,0.065292686,0.0030929146,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,127.5,0.0605684,0.0029072831,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,142.5,0.057172053,0.0028757541,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,157.5,0.054984674,0.0027767261,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,172.5,0.05391512,0.0026903644,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,187.5,0.05391512,0.0026790423,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,202.5,0.054984674,0.002604624,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,217.5,0.05717205,0.002863748,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,232.5,0.0605684,0.0028969867,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
1.0,5.75,1.82,0.343,-0.172,247.5,0.065292686,0.003080509,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.031566135585308075
