set,ReH_true,ReH_pred,ReH_res,ReH_std,ReE_true,ReE_pred,ReE_res,ReE_std,ReHt_true,ReHt_pred,ReHt_res,ReHt_std,dvcs_true,dvcs_pred,dvcs_res,dvcs_std
1,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.011001394936442373,0.0011039558
2,-2.48378,-1.5028974,0.9808826182174681,0.08516331,2.05692,-0.5279242,2.5848441800308226,0.23603453,1.17942,-0.9324627,2.111882692260742,0.26763773,0.0227145,0.016441057,0.006273443495154379,0.0012179645
3,-2.44312,-2.087993,0.3551270934295654,0.24615167,1.94885,0.5709344,1.3779155851364135,0.9520845,1.04808,-0.6918961,1.739976080970764,0.5316278,0.0196876,0.015375596,0.004312004460191726,0.0015429661
4,-2.40288,-2.0417855,0.3610945214080812,0.507328,1.85115,-1.576697,3.4278469919204713,4.139618,0.934471,-0.5723488,1.5068197734794617,1.7695358,0.0174894,0.013512232,0.003977167659127711,0.0033972585
5,-2.35994,-2.1843276,0.17561239761352532,1.0532653,1.75483,-3.4225657,5.177395698623657,5.280436,0.82686,-0.9932939,1.8201538814163207,2.3745112,0.0157662,0.013366089,0.002400110797536374,0.007392737
6,-2.55945,-1.4354894,1.1239605838775635,0.04512177,2.20108,-0.14739113,2.348471125559807,0.062003568,1.3792,-1.9922689,3.371468919944763,0.23317666,0.016768,0.009136935,0.007631065235316755,0.0006135421
7,-2.5008,-2.222089,0.27871094779968253,0.34066722,2.05692,1.4663221,0.5905979356002806,0.4062828,1.18094,0.96475726,0.2161827363395692,0.7698788,0.0128379,0.010869265,0.0019686353973388665,0.0027582517
8,-2.46665,-1.5559056,0.9107444194793701,0.2359896,1.94659,-0.19220084,2.1387908395195008,0.8472235,1.04462,-1.0358342,2.0804541932296754,0.366656,0.0111995,0.0072898767,0.003909623304277658,0.0021782361
9,-2.42877,-0.98378617,1.4449838342857362,0.23447867,1.84698,1.4811219,0.36585810230255134,1.2855748,0.927706,-0.11367704,1.04138303974247,0.36161387,0.010102,0.007902315,0.0021996851135492324,0.0021364577
10,-2.38607,-1.2157509,1.1703190673065187,0.8158888,1.7529,-0.9026739,2.655573900127411,4.3301563,0.821841,-0.21116842,1.033009423295021,2.1271732,0.00910937,0.008378404,0.000730965807373524,0.0046861526
11,-2.4544,-1.4684145,0.985985454940796,0.33271387,2.15838,0.50072443,1.6576555651474,0.49049538,1.30188,-2.276359,3.5782390812683103,2.9056182,0.0217681,0.0151761295,0.006591970472609995,0.0025956917
12,-2.40374,-1.6631135,0.7406265251541138,0.29672527,2.05448,0.73899305,1.3154869513320921,0.73902184,1.16918,-0.8652804,2.0344603897857665,0.7816365,0.0186438,0.015313526,0.003330274315822123,0.002334605
13,-2.36569,-1.8394309,0.5262590717697142,0.37763947,1.94659,0.85428727,1.0923027332687378,1.0510936,1.04328,-0.21769686,1.2609768604326248,0.912591,0.0165452,0.0148187755,0.001726424532425403,0.0022813717
14,-2.33213,-1.8645145,0.467615529899597,1.0717621,1.84907,0.05040018,1.7986698211205006,3.3835943,0.934829,-0.97529894,1.9101279411354066,2.1670978,0.0150419,0.010050525,0.004991375042521954,0.005335327
15,-2.29399,-1.3301435,0.9638465483093261,2.1262093,1.75483,2.151539,0.39670908729553234,9.172675,0.833607,-1.9327494,2.7663563906021116,4.606236,0.013758,0.009995874,0.003762125982522964,0.011820718
16,-2.58762,-1.293275,1.2943450013351439,0.049554512,2.21468,0.058311988,2.156368012331724,0.09130746,1.40487,-1.3424901,2.7473600770187376,0.22674653,0.0184424,0.010831563,0.007610837197804452,0.0007361191
17,-2.57418,-1.8793938,0.6947861840057374,0.35399806,2.05937,-1.1491672,3.2085371800613403,0.92063165,1.19056,-1.0143948,2.204954760131836,0.89776903,0.015339,0.009902523,0.005436477100789547,0.002386129
18,-2.55545,-2.7325072,0.17705722885131836,1.4395624,1.94885,-0.15193138,2.1007813752651217,0.7501095,1.04804,-0.6716063,1.7196463022613526,0.6025663,0.0137794,0.009500116,0.004279283890151978,0.0034210626
19,-2.53187,-1.8527405,0.6791294738006592,2.955669,1.84907,0.32181457,1.5272554331493378,0.9177831,0.924297,0.4006594,0.5236375878543854,1.5425817,0.0126023,0.011773443,0.0008288571504831317,0.006450998
20,-2.49474,-2.253501,0.24123906158447284,12.695315,1.75483,-0.8910003,2.645830270843506,4.9427576,0.811791,-1.7957196,2.6075106235656738,3.8196008,0.0114911,0.0025410962,0.008950003817459942,0.022036625
