set,set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH,ReH_pred,ReH_res,ReH_std,ReE,ReE_pred,ReE_res,ReE_std,ReHt,ReHt_pred,ReHt_res,ReHt_std,dvcs,dvcs_pred,dvcs_res,dvcs_std
1,1,5.75,1.82,0.343,-0.172,7.5,0.113237,0.0019439281,0.11413141,0.0014401359,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,22.5,0.111495,0.00158404,0.110000655,0.0013590689,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,37.5,0.100762,0.0017707264,0.10274448,0.0012389359,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,52.5,0.0961192,0.0017707264,0.093854114,0.001136834,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,67.5,0.0849277,0.0016662724,0.08470641,0.0010891106,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,82.5,0.0811181,0.0018224361,0.07624473,0.0010944688,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,97.5,0.0717791,0.0021557449,0.06896181,0.001129472,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,112.5,0.0583896,0.0022439169,0.063029125,0.0011720003,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,127.5,0.0608682,0.002304,0.05844005,0.0012097748,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
1,1,5.75,1.82,0.343,-0.172,142.5,0.0581145,0.00253009,0.055114042,0.0012382224,-2.56464,-1.3869532,1.1776867653274534,0.06593294,2.21195,0.20454773,2.0074022669315337,0.08107294,1.39564,-1.6293396,3.0249795757675173,0.14570905,0.0315875,0.020586105,0.0110013949364423,0.0011039558
