set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
101,5.75,1.64,0.214,-0.45,157.38,0.0,0.0,0.0403054,0.007864605,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,172.45,0.0,0.0,0.03947698,0.008278779,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,187.55,0.0,0.0,0.03947698,0.008278779,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,202.62,0.0,0.0,0.040305406,0.007864603,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,217.7,0.0232,0.01656,0.042162064,0.0071135387,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,232.78,0.0566,0.02787,0.04553936,0.0062540844,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,247.87,0.0407,0.00944,0.051477477,0.0057966434,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,262.96,0.0501,0.01521,0.062140875,0.0063353325,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,278.06,0.0883,0.01057,0.08227266,0.0075832414,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,293.18,0.1116,0.01591,0.12310965,0.007937358,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,308.34,0.2386,0.02988,0.21500777,0.0072107636,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,321.98,0.4454,0.04047,0.42018822,0.027899338,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,330.96,0.0,0.0,0.7387052,0.07229689,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,352.5,0.0,0.0,6.4725995,0.9508872,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
102,5.75,1.88,0.215,-0.11,7.84,0.0,0.0,3.959904,0.28763366,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,23.16,3.3378,0.46855,3.361856,0.23125103,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,37.96,2.7154,0.34126,2.5895405,0.15949668,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
