,k,QQ,x_b,t,phi_x,F,errF,dvcs
0,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,7.5,0.12133658892599918,0.0049200002104043,0.0177613202492134
1,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,22.5,0.11477948958804482,0.0046799997799098,0.0177613202492134
2,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,37.5,0.10862058735828738,0.0041999998502433,0.0177613202492134
3,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,52.5,0.09880678865422532,0.00395999988541,0.0177613202492134
4,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,67.5,0.08269709720001166,0.0035999999381601,0.0177613202492134
5,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,82.5,0.0760845584620855,0.0033599999733269,0.0177613202492134
6,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,97.5,0.06071688049677337,0.0031200000084936,0.0177613202492134
7,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,112.5,0.06301300182660957,0.0028800000436604,0.0177613202492134
8,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,127.5,0.048046581648964214,0.0027600000612437,0.0177613202492134
9,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,142.5,0.048524464484735304,0.0025200000964105,0.0177613202492134
10,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,157.5,0.045449297330864356,0.0025200000964105,0.0177613202492134
11,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,172.5,0.046991666387101526,0.0024000001139938,0.0177613202492134
12,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,187.5,0.04784409958881411,0.0024000001139938,0.0177613202492134
13,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,202.5,0.04588090177587142,0.0025200000964105,0.0177613202492134
14,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,217.5,0.04589145184971859,0.0026400000788271,0.0177613202492134
15,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,232.5,0.05631116191908758,0.0026400000788271,0.0177613202492134
16,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,247.5,0.06144671962705952,0.0027600000612437,0.0177613202492134
17,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,262.5,0.05973353884237065,0.0028800000436604,0.0177613202492134
18,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,277.5,0.07720358878162696,0.0032399999909102,0.0177613202492134
19,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,292.5,0.08245742417041353,0.0034799999557435,0.0177613202492134
20,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,307.5,0.08989594160857617,0.0038399999029934,0.0177613202492134
21,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,322.5,0.10734928110459599,0.0041999998502433,0.0177613202492134
22,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,337.5,0.11812082685301643,0.0045599997974932,0.0177613202492134
23,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,352.5,0.11920239702904983,0.0048000002279877,0.0177613202492134
24,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,7.5,0.08654708879367559,0.005040000192821,0.0128291665507456
25,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,22.5,0.07465861893210907,0.0044399998150765,0.0128291665507456
26,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,37.5,0.07009208650424849,0.0038399999029934,0.0128291665507456
27,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,52.5,0.06032820421146538,0.0035999999381601,0.0128291665507456
28,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,67.5,0.05458435199513729,0.0032399999909102,0.0128291665507456
29,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,82.5,0.049097485264747595,0.0028800000436604,0.0128291665507456
30,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,97.5,0.03750271108149921,0.0025200000964105,0.0128291665507456
31,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,112.5,0.03435023522245323,0.0024000001139938,0.0128291665507456
32,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,127.5,0.033618424462878174,0.0021599999163299,0.0128291665507456
33,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,142.5,0.03172100533926337,0.0020399999339133,0.0128291665507456
34,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,157.5,0.026347679211293475,0.0020399999339133,0.0128291665507456
35,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,172.5,0.030465915031799264,0.0019199999514967,0.0128291665507456
36,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,187.5,0.026344875793595405,0.0019199999514967,0.0128291665507456
37,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,202.5,0.02774483268215951,0.0020399999339133,0.0128291665507456
