set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
3,5.75,1.964,0.375,-0.278,217.5,0.0288885,0.00216,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,232.5,0.0330335,0.00228,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,247.5,0.0301522,0.00264,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,262.5,0.0370182,0.00276,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,277.5,0.0432979,0.00288,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,292.5,0.0518434,0.00324,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,307.5,0.0524636,0.00372,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,322.5,0.0573016,0.0042,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,337.5,0.06495,0.0054,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,352.5,0.0689143,0.00636,-2.44312,1.94885,1.04808,0.0196876
4,5.75,1.986,0.379,-0.323,7.5,0.0691994,0.00924,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,22.5,0.0554744,0.00756,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,37.5,0.0381581,0.0054,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,52.5,0.0498384,0.00456,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,67.5,0.0369224,0.00372,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,82.5,0.0299091,0.00336,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,97.5,0.0285979,0.00288,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,112.5,0.0267153,0.00252,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,127.5,0.0258366,0.0024,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,142.5,0.0276768,0.00228,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,157.5,0.0286765,0.00252,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,172.5,0.0267604,0.0024,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,187.5,0.0197522,0.00252,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,202.5,0.0240094,0.00252,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,217.5,0.0218052,0.00252,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,232.5,0.0220775,0.00252,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,247.5,0.0258433,0.00288,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,262.5,0.0288256,0.003,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,277.5,0.0319118,0.00324,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,292.5,0.039669,0.00372,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,307.5,0.0439407,0.00456,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,322.5,0.0467433,0.00564,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,337.5,0.0688631,0.00756,-2.40288,1.85115,0.934471,0.0174894
4,5.75,1.986,0.379,-0.323,352.5,0.0542132,0.00876,-2.40288,1.85115,0.934471,0.0174894
5,5.75,1.999,0.381,-0.371,7.5,0.0581037,0.01416,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,22.5,0.0410916,0.01044,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,37.5,0.052168,0.00684,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,52.5,0.0418366,0.0054,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,67.5,0.0384336,0.00444,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,82.5,0.0245378,0.00348,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,97.5,0.022365,0.00336,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,112.5,0.02388,0.00312,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,127.5,0.0239452,0.00288,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,142.5,0.0208906,0.00288,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,157.5,0.0254018,0.00324,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,172.5,0.0119119,0.00384,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,187.5,0.0219465,0.00384,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,202.5,0.0137793,0.00348,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,217.5,0.0240663,0.00312,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,232.5,0.0221324,0.00264,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,247.5,0.0217589,0.00312,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,262.5,0.0293014,0.00312,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,277.5,0.0329539,0.00348,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,292.5,0.0320787,0.0042,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,307.5,0.0333905,0.00492,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,322.5,0.0438023,0.00684,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,337.5,0.0497736,0.00984,-2.35994,1.75483,0.82686,0.0157662
5,5.75,1.999,0.381,-0.371,352.5,0.053211,0.01392,-2.35994,1.75483,0.82686,0.0157662
6,5.75,2.218,0.345,-0.176,7.5,0.105072,0.00432,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,22.5,0.100122,0.00432,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,37.5,0.0893008,0.00408,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,52.5,0.0839857,0.00384,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,67.5,0.0721391,0.00348,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,82.5,0.0653323,0.00336,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,97.5,0.0655006,0.003,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,112.5,0.0612539,0.00276,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,127.5,0.0492763,0.00264,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,142.5,0.0439151,0.00252,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,157.5,0.0434647,0.0024,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,172.5,0.0459791,0.0024,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,187.5,0.0461742,0.00228,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,202.5,0.0402722,0.00228,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,217.5,0.0491993,0.00252,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,232.5,0.0528074,0.00264,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,247.5,0.0552622,0.00276,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,262.5,0.0638777,0.003,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,277.5,0.065919,0.00324,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,292.5,0.0728628,0.00348,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,307.5,0.0876323,0.00372,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,322.5,0.0942583,0.00396,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,337.5,0.100025,0.0042,-2.55945,2.20108,1.3792,0.016768
6,5.75,2.218,0.345,-0.176,352.5,0.106547,0.00432,-2.55945,2.20108,1.3792,0.016768
7,5.75,2.318,0.363,-0.232,7.5,0.0856221,0.0042,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,22.5,0.0852842,0.00396,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,37.5,0.0692332,0.0036,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,52.5,0.0639972,0.00324,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,67.5,0.0533179,0.00288,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,82.5,0.0470192,0.00264,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,97.5,0.0398138,0.0024,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,112.5,0.0362021,0.00216,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,127.5,0.031924,0.00204,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,142.5,0.029411,0.00192,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,157.5,0.0291586,0.00192,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,172.5,0.0265909,0.0018,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,187.5,0.0306702,0.0018,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,202.5,0.0316023,0.00192,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,217.5,0.0289326,0.00192,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,232.5,0.0332408,0.00204,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,247.5,0.0351178,0.00216,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,262.5,0.0414205,0.0024,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,277.5,0.0437087,0.00252,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,292.5,0.0543635,0.00276,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,307.5,0.0607309,0.00312,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,322.5,0.0735538,0.00348,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,337.5,0.0790025,0.00396,-2.5008,2.05692,1.18094,0.0128379
7,5.75,2.318,0.363,-0.232,352.5,0.0911518,0.0042,-2.5008,2.05692,1.18094,0.0128379
8,5.75,2.348,0.368,-0.279,7.5,0.0781249,0.00504,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,22.5,0.0699334,0.0048,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,37.5,0.0583844,0.00384,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,52.5,0.0513953,0.00336,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,67.5,0.0442812,0.00288,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,82.5,0.0370628,0.00264,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,97.5,0.0297026,0.00228,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,112.5,0.0281004,0.00204,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,127.5,0.0278814,0.0018,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,142.5,0.0211788,0.0018,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,157.5,0.0214348,0.00192,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,172.5,0.0203773,0.00192,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,187.5,0.0224932,0.0018,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,202.5,0.0261655,0.0018,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,217.5,0.025234,0.0018,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,232.5,0.0262857,0.00192,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,247.5,0.0277166,0.00204,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,262.5,0.0333083,0.00216,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,277.5,0.0385467,0.0024,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,292.5,0.0415911,0.00264,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,307.5,0.0472413,0.00324,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,322.5,0.0595454,0.00348,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,337.5,0.0724629,0.0042,-2.46665,1.94659,1.04462,0.0111995
8,5.75,2.348,0.368,-0.279,352.5,0.0784268,0.00492,-2.46665,1.94659,1.04462,0.0111995
9,5.75,2.36,0.371,-0.325,7.5,0.0941565,0.00696,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,22.5,0.0698929,0.00588,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,37.5,0.0539594,0.00408,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,52.5,0.0343362,0.0036,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,67.5,0.0331774,0.00312,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,82.5,0.0332537,0.00252,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,97.5,0.026983,0.00228,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,112.5,0.0226005,0.00204,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,127.5,0.021671,0.00192,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,142.5,0.0176462,0.0018,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,157.5,0.0186984,0.0018,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,172.5,0.016411,0.00192,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,187.5,0.0180793,0.0018,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,202.5,0.0205289,0.00192,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,217.5,0.0208257,0.0018,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,232.5,0.019641,0.0018,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,247.5,0.0213021,0.00192,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,262.5,0.0228201,0.00228,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,277.5,0.0296829,0.00252,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,292.5,0.0337213,0.00288,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,307.5,0.042849,0.00324,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,322.5,0.0548752,0.00408,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,337.5,0.0561541,0.00552,-2.42877,1.84698,0.927706,0.010102
9,5.75,2.36,0.371,-0.325,352.5,0.0841301,0.00684,-2.42877,1.84698,0.927706,0.010102
10,5.75,2.375,0.373,-0.372,7.5,0.0712923,0.01008,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,22.5,0.0627413,0.00756,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,37.5,0.0410762,0.00492,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,52.5,0.0397685,0.00396,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,67.5,0.0254605,0.00312,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,82.5,0.0205391,0.00264,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,97.5,0.0216237,0.00228,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,112.5,0.0194461,0.00192,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,127.5,0.0151477,0.0018,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,142.5,0.0170107,0.00168,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,157.5,0.0132433,0.0018,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,172.5,0.0165127,0.00204,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,187.5,0.0161433,0.00204,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,202.5,0.0140523,0.00192,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,217.5,0.0140041,0.00168,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,232.5,0.0186472,0.0018,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,247.5,0.0162954,0.00204,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,262.5,0.0198793,0.00216,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,277.5,0.0212029,0.0024,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,292.5,0.0307977,0.003,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,307.5,0.0422046,0.00348,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,322.5,0.0537924,0.0048,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,337.5,0.0736721,0.00768,-2.38607,1.7529,0.821841,0.00910937
10,5.75,2.375,0.373,-0.372,352.5,0.0716548,0.01044,-2.38607,1.7529,0.821841,0.00910937
11,5.75,2.012,0.378,-0.192,7.5,0.0665313,0.00756,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,22.5,0.0556834,0.00744,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,37.5,0.0552188,0.00672,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,52.5,0.0485457,0.00696,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,67.5,0.0574261,0.00648,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,82.5,0.0512389,0.00612,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,97.5,0.0469304,0.00588,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,112.5,0.0428732,0.00564,-2.4544,2.15838,1.30188,0.0217681
11,5.75,2.012,0.378,-0.192,127.5,0.0438678,0.00552,-2.4544,2.15838,1.30188,0.0217681
