,0,1,2,3
0,-0.84636575,-0.61398023,-1.8849407,0.019825285
1,-0.4470875,-2.2500546,-3.2941086,0.0119313
2,-0.4104393,-3.2360473,-1.7747334,0.012089172
3,-0.1731313,-3.51145,-2.3465872,0.0106117055
4,-0.291211,-5.9893374,-1.7802598,0.009494206
5,0.71452004,-2.8076377,-5.57709,0.00482456
6,0.25858948,-2.0804524,-3.2697897,0.0059269145
7,1.0183058,-6.394743,-4.942992,0.0021621212
8,0.92928404,-7.722107,-2.7376628,0.00485434
9,0.924741,-9.768016,-3.0467162,0.003043292
10,1.1851767,-3.1861691,-5.612452,0.0069125853
11,1.4674805,-3.0819094,-5.2058554,0.0050955266
12,1.3994918,-3.2658787,-5.5211487,0.005314201
13,0.9331749,-4.70767,-4.353034,0.005362097
14,0.97530943,-7.1394124,-4.0072956,0.004942689
15,1.0714076,-3.2888403,-5.597409,0.002688501
16,1.5381004,-7.7944603,-7.0279326,-0.00077759847
17,-0.12310523,-5.6321383,-3.6624832,0.0035447069
18,-0.06007586,-4.0180287,-3.0509496,0.005635783
19,-0.25021356,-2.5501468,-2.4891894,0.006944794
20,0.5387649,-2.2374988,-1.7997895,0.0028293617
21,-0.39091483,-2.3419976,-2.6859899,0.0023069084
22,-0.30129075,-4.0837517,-2.2254138,0.0019118525
23,-0.7053831,-2.4360578,-1.2981148,0.0023108162
24,-0.81222075,-2.6159449,-0.53088176,0.00236932
25,-0.20829082,-2.313669,-3.0325546,0.001803916
26,-0.6359401,0.507932,-0.8041987,0.0022256803
27,-1.0250041,-0.22514118,-1.5350829,0.0018985514
28,-1.2377254,-1.1482859,-1.2716922,0.0016484912
29,-0.76431656,-2.210266,-1.6130681,0.0013642241
30,-0.5024254,-0.52632636,-1.3807158,0.0013552229
31,-1.6563375,-1.9545188,0.39705914,0.001445977
32,-1.5513581,-3.2643037,-0.5171628,0.0010112058
33,-1.8853242,-3.3982482,1.5189577,0.0011463035
34,-1.1175305,-4.4788523,0.35179964,0.00095766876
35,1.8950188,-0.6462448,-4.959995,0.00027752295
36,-0.381793,-2.0099766,-0.39747033,0.003911592
37,0.26895815,-0.37689307,-3.2848277,0.00202981
38,-0.076939106,-0.20454504,-2.3336892,0.0028865226
39,1.0690571,-1.8351694,-4.0903554,0.0012094304
40,0.59208035,1.3064018,-2.1906867,0.0008300729
41,0.4139915,0.272735,-2.3830774,0.0006415732
42,-0.84197146,0.84617245,-1.7562783,0.0009035319
43,-0.76118946,0.8831481,-1.5880778,0.00077073276
44,0.17422715,-0.63801014,-1.8112738,0.00058242306
45,-0.4283576,0.75070554,-1.3372196,0.00064050406
46,-0.19565934,-0.4292939,-1.4144728,0.0004814826
47,-0.04026024,-1.3369824,-1.6588447,0.00031076558
48,0.038001448,-0.5250022,-2.0779788,0.0003364142
49,-0.9523023,0.6173849,-0.45825896,0.00048884936
50,0.6510391,0.28232768,0.35792962,0.00019956485
51,-0.12012547,-0.6427952,-0.21495983,0.00021869782
52,-0.16517428,0.27633166,-0.42087135,0.00018944964
53,0.28870153,-1.8524355,-0.40819874,0.00014431961
54,0.6574354,-1.0297288,-1.620835,0.000121129335
55,-1.0557683,-0.88243806,-1.688504,0.0003867792
56,-1.4454274,-0.20996548,-1.0279863,0.0003752238
57,-1.3806292,1.0032374,-0.9563968,0.00033804076
58,-1.8101654,0.2059272,-0.17067313,0.00032444694
59,-0.8793292,-0.21044904,-1.3705063,0.00025253417
