phi_x,Real F,Mean F Prediction,Std Dev Prediction
37.5,0.0650265,0.08036948,0.010469966
52.5,0.0714491,0.066314384,0.0062296917
67.5,0.0617234,0.054829765,0.0037488744
82.5,0.0403438,0.046148602,0.003283634
97.5,0.0396034,0.039806835,0.0037575904
112.5,0.0327179,0.035256468,0.004254679
127.5,0.035249,0.032054007,0.0045911274
142.5,0.0242467,0.029884238,0.0047895834
157.5,0.0244331,0.028539648,0.004895005
172.5,0.0313287,0.027896225,0.0049397964
187.5,0.0303144,0.027896222,0.004939796
202.5,0.0294035,0.028539648,0.004895005
217.5,0.0252502,0.029884238,0.0047895843
232.5,0.0279892,0.032054007,0.0045911283
247.5,0.0369188,0.035256464,0.004254679
262.5,0.0363501,0.03980682,0.0037575911
277.5,0.0508614,0.04614859,0.0032836343
292.5,0.0552173,0.054829765,0.0037488744
307.5,0.0767048,0.066314384,0.0062296917
322.5,0.0834862,0.080369465,0.010469964
